"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Triaging Crowdstrike malware data","Analytic Capability","Digital Resilience","Foundational Visibility",Malware,"Incident Management",,Security,,"CrowdStrike Falcon data",,"https://lantern.splunk.com/@go/page/1160","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Triaging Crowdstrike malware data","Analytic Capability","Digital Resilience","Foundational Visibility",Malware,"Incident Management",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/1160","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Troubleshooting checkout latency issues",Capability,"Digital Resilience Journey","Proactive Response",,"Improve End User Experiences",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Improve_User_Experiences/Troubleshooting_checkout_latency_issues",,,,,,,,,,
"Troubleshooting critical application performance issues",,,,,,,,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/IT_Ops/Troubleshooting_critical_application_performance_issues",,,,,,,,,,
"Troubleshooting service problems using ITSI service analyzer",Capability,"Digital Resilience Journey","Guided Insights",,"Reduce Alert Noise",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Troubleshooting_service_problems_using_ITSI_Service_Analyzer",,,,,,,,,,
"Troubleshooting website latency problems","Technical Capability","Digital Resilience","Proactive Response","Real user monitoring","Improve End User Experiences",,Observability,,"Real user monitoring",,"https://lantern.splunk.com/@go/page/6693",,,"Industry Neutral",,Active,,,,,
"Typosquatting clicks on a network","Analytic Capability","Digital Resilience","Guided Insights","Network firewall","Threat Hunting",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/817","Detecting the use of randomization in cyberattacks","https://lantern.splunk.com/@go/page/735","Industry Neutral",,Active,,,,,
"USN journal deletion","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2915","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Unattached AWS elastic block store volumes","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/657","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Unauthorized access to Splunk indexes","Analytic Capability","Digital Resilience","Foundational Visibility","Data access",Compliance,,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/556","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Unauthorized access to systems","Analytic Capability","Digital Resilience","Foundational Visibility","Data access",Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/555","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Unauthorized connection through firewall","Analytic Capability","Digital Resilience","Foundational Visibility","Network firewall",Compliance,,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/554","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Unused Elastic IPs with no attached instances","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2850","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Use of sudo commands on a server","Analytic Capability","Digital Resilience","Foundational Visibility","User activity logs","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/676","Managing *nix system user account behavior","https://lantern.splunk.com/@go/page/631","Industry Neutral",,Active,,,,,
"User account changed","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures",Compliance,,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/547","Recognizing improper use of system administration tools","https://lantern.splunk.com/@go/page/520","Industry Neutral",,Active,"Removed System Log data",,,,
"Users who haven't accessed AWS for an extended time","Analytic Capability","Digital Resilience","Foundational Visibility","User activity logs","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/659","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Using Amazon SageMaker to predict risk scores","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"AWS:Cloud Services data",,"https://lantern.splunk.com/@go/page/7367",,,"Financial Services and Insurance",,Active,,,,,
"Using Cross-Region Disaster Recovery for OCC and DORA compliance",Capability,"Digital Resilience Journey","Foundational Visibility",,Compliance,,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance/Using_Cross-Region_Disaster_Recovery_for_OCC_and_DORA_compliance",,,,,,,,,,
"Using Splunk Enterprise Security to ensure PCI compliance","Technical Capability","Digital Resilience","Foundational Visibility","User activity logs",Compliance,,Security,,"Compliance and Governance data",,"https://lantern.splunk.com/@go/page/4203",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Using Splunk SOAR to find gaps in your containment strategy","Technical Capability","Digital Resilience","Proactive Response",Inventory,"Automate Containment and Response",,Security,,"SOAR data",,"https://lantern.splunk.com/@go/page/7577","Automate Containment and Threat Actions","https://lantern.splunk.com/Security/UCE/Proactive_Response/Automate_threat_analysis","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Using comparative testing to drive app performance","Technical Capability","Digital Resilience","Proactive Response","Synthetic monitoring","Improve End User Experiences",,Observability,,"Synthetic monitoring",,"https://lantern.splunk.com/@go/page/7233","Optimize End User Experiences","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences","Industry Neutral",,Active,,,,,
"Using contentctl to speed up your SOC","Technical Capability","Digital Resilience","Foundational Visibility","Binary repositories","Security Monitoring",,Security,,"Binary repositories",,"https://lantern.splunk.com/@go/page/8002","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Using lessons learned from incidents to harden your SOC processes","Technical Capability","Digital Resilience","Unified Workflows","N/A","Standardize Response Processes Using SOC Templates",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/7523","Standardize SOC Processes Using Response Templates",,"Industry Neutral",,Active,,,,,
"Using modern methods of detecting financial crime","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/4662",,,"Financial Services and Insurance",,Active,,,,,
"Using risk scores to improve decision-making","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/6348",,,"Financial Services and Insurance",,Active,,,,,
"Using stack traces to detect application errors","Analytic Use Case","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/1256","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Using the OT Security add-on for Splunk to ensure NERC CIP compliance","Technical Capability","Digital Resilience","Foundational Visibility","Compliance and governance",Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/7270",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Using the OT Security add-on for Splunk to ensure NERC CIP compliance","Technical Capability","Digital Resilience","Foundational Visibility","Compliance and governance",Compliance,,Security,,"Compliance and Governance data",,"https://lantern.splunk.com/@go/page/7270",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Using the OT Security add-on for Splunk to ensure NERC CIP compliance","Technical Capability","Digital Resilience","Foundational Visibility","Compliance and governance",Compliance,,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/7270",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Using the Splunk App for PCI Compliance",,,,,,,,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance/Using_the_Splunk_App_for_PCI_Compliance",,,,,,,,,,
"Using the Splunk platform to monitor key horse-related data points",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Using_the_Splunk_platform_to_monitor_key_horse-related_data_points",,,,,,,,,,
"Using the Splunk security suite for incident response management","Technical Capability","Digital Resilience","Unified Workflows","N/A","Automate Complete TIDR Lifecycle",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/7463","Automate the Complete TDIR Life Cycle","https://lantern.splunk.com/Security/UCE/Unified_Workflows/Automate_complete_TDIR_life_cycle",,,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Using threat intelligence in Splunk Enterprise Security","Technical Capability","Digital Resilience","Guided Insights","Threat intelligence","Threat Intelligence Enrichment",,Security,,"Threat Intelligence Platform data",,"https://lantern.splunk.com/@go/page/4380","Threat Intelligence Enrichment",,"Industry Neutral",,Active,,,,,
"Using threat intelligence in Splunk Enterprise Security","Technical Capability","Digital Resilience","Guided Insights","Threat intelligence","Threat Intelligence Enrichment",,Security,,"Vulnerability Detection data",,"https://lantern.splunk.com/@go/page/4380","Threat Intelligence Enrichment",,"Industry Neutral",,Active,,,,,
"Using threat intelligence in Splunk Enterprise Security","Technical Capability","Digital Resilience","Guided Insights","Threat intelligence","Threat Intelligence Enrichment",,Security,,"Vulnerability Scanning data",,"https://lantern.splunk.com/@go/page/4380","Threat Intelligence Enrichment",,"Industry Neutral",,Active,,,,,
