dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
CP_7_2_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.2,,The organization establishes an alternate processing site including necessary agreements to permit the transfer and resumption of organization-defined information system operations for essential missions within an organization-defined time period consistent with recovery time and recovery point objectives when the primary processing capabilities are unavailable.,TRUE
CP_7_3_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.3,,The organization establishes an alternate processing site including necessary agreements to permit the transfer and resumption of organization-defined information system operations for essential business functions within an organization-defined time period consistent with recovery time and recovery point objectives when the primary processing capabilities are unavailable.,TRUE
CP_7_4_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.4,,The organization defines information system operations that are permitted to transfer and resume at an alternate processing site for essential missions/business functions when the primary processing capabilities are unavailable.,TRUE
CP_7_5_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.5,,The organization ensures that equipment and supplies required to transfer and resume operations are available at the alternate processing site or contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.,TRUE
CP_7_6_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.6,,The organization ensures that the alternate processing site provides information security safeguards equivalent to that of the primary site.,TRUE
CP_8-1_1_rmf,CP-8(1),Telecommunications Services | Priority of Service Provisions,Contingency Planning,,,,fas fa-user-lock,CP-8(1).1,,The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization^s availability requirements (including recovery time objectives).,TRUE
CP_8-1_2_rmf,CP-8(1),Telecommunications Services | Priority of Service Provisions,Contingency Planning,,,,fas fa-user-lock,CP-8(1).2,,The organization develops alternate telecommunications service agreements that contain priority-of-service provisions in accordance with the organization^s availability requirements (including recovery time objectives).,TRUE
CP_8-1_3_rmf,CP-8(1),Telecommunications Services | Priority of Service Provisions,Contingency Planning,,,,fas fa-user-lock,CP-8(1).3,,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary telecommunications services are provided by a common carrier.,TRUE
CP_8-1_4_rmf,CP-8(1),Telecommunications Services | Priority of Service Provisions,Contingency Planning,,,,fas fa-user-lock,CP-8(1).4,,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the alternate telecommunications services are provided by a common carrier.,TRUE
CP_8-2_1_rmf,CP-8(2),Telecommunications Services | Single Points of Failure,Contingency Planning,,,,fas fa-user-lock,CP-8(2).1,,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,TRUE
CP_8-3_1_rmf,CP-8(3),Telecommunications Services | Separation of Primary and Alternate Providers,Contingency Planning,,,,fas fa-user-lock,CP-8(3).1,,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,TRUE
CP_8-4_1_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).1,,The organization requires primary telecommunications service providers to have contingency plans.,TRUE
CP_8-4_2_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).2,,The organization requires alternate telecommunications service providers to have contingency plans.,TRUE
CP_8-4_3_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).3,,The organization reviews provider contingency plans to ensure that the plans meet organizational contingency requirements.,TRUE
CP_8-4_4_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).4,,The organization defines the frequency with which to obtain evidence of contingency testing by providers.,TRUE
CP_8-4_5_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).5,,The organization defines the frequency with which to obtain evidence of contingency training by providers.,TRUE
CP_8-4_6_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).6,,The organization obtains evidence of contingency testing by providers in accordance with organization-defined frequency.,TRUE
CP_8-4_7_rmf,CP-8(4),Telecommunications Services | Provider Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-8(4).7,,The organization obtains evidence of contingency training by providers in accordance with organization-defined frequency.,TRUE
CP_8-5_1_rmf,CP-8(5),Telecommunications Services | Alternate Telecommunication Service Testing,Contingency Planning,,,,fas fa-user-lock,CP-8(5).1,,The organization defines the frequency with which to test alternate telecommunication services.,TRUE
CP_8-5_2_rmf,CP-8(5),Telecommunications Services | Alternate Telecommunication Service Testing,Contingency Planning,,,,fas fa-user-lock,CP-8(5).2,,The organization tests alternate telecommunication services per organization-defined frequency.,TRUE
CP_8_1_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.1,,The organization defines the time period within which to permit the resumption of organization-defined information system operations for essential missions when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_8_2_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.2,,The organization defines the time period within which to permit the resumption of organization-defined information system operations for essential business functions when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_8_3_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.3,,The organization establishes alternate telecommunication services including necessary agreements to permit the resumption of organization-defined information system operations for essential missions within an organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_8_4_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.4,,The organization establishes alternate telecommunication services including necessary agreements to permit the resumption of organization-defined information system operations for essential business functions within an organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_8_5_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.5,,The organization defines the information system operations to be resumed for essential missions within the organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_8_6_rmf,CP-8,Telecommunications Services,Contingency Planning,,,,fas fa-user-lock,CP-8.6,,The organization defines the information system operations to be resumed for essential business functions within the organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,TRUE
CP_9-1_1_rmf,CP-9(1),System Backup | Testing for Reliability and Integrity,Contingency Planning,,,,fas fa-user-lock,CP-9(1).1,,The organization defines the frequency with which to test backup information to verify media reliability and information integrity.,TRUE
CP_9-1_2_rmf,CP-9(1),System Backup | Testing for Reliability and Integrity,Contingency Planning,,,,fas fa-user-lock,CP-9(1).2,,The organization tests backup information per an organization-defined frequency to verify media reliability and information integrity.,TRUE
CP_9-2_1_rmf,CP-9(2),System Backup | Test Restoration Using Sampling,Contingency Planning,,,,fas fa-user-lock,CP-9(2).1,,The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.,TRUE
CP_9-3_1_rmf,CP-9(3),System Backup | Separate Storage for Critical Information,Contingency Planning,,,,fas fa-user-lock,CP-9(3).1,,"The organization defines critical information system software and other security-related information, of which backup copies must be stored in a separate facility or in a fire-rated container.",TRUE
